From LGD,From LGD Code,To LGD,To LGD Code,No of Commuters
95MM - DERRY,95MM,No fixed place,95MM,4948
95MM - DERRY,95MM,Outside UK,95MM,910
95NN - DOWN,95NN,95AA - ANTRIM,95AA,145
95NN - DOWN,95NN,95BB - ARDS,95BB,568
95NN - DOWN,95NN,95CC - ARMAGH,95CC,73
95NN - DOWN,95NN,95DD - BALLYMENA,95DD,43
95NN - DOWN,95NN,95EE - BALLYMONEY,95EE,2
95NN - DOWN,95NN,95FF - BANBRIDGE,95FF,202
95NN - DOWN,95NN,95GG - BELFAST,95GG,5249
95NN - DOWN,95NN,95HH - CARRICKFERGUS,95HH,48
95NN - DOWN,95NN,95II - CASTLEREAGH,95II,1383
95NN - DOWN,95NN,95JJ - COLERAINE,95JJ,16
95NN - DOWN,95NN,95KK - COOKSTOWN,95KK,13
95NN - DOWN,95NN,95LL - CRAIGAVON,95LL,320
95NN - DOWN,95NN,95MM - DERRY,95MM,11
95NN - DOWN,95NN,95NN - DOWN,95NN,11346
95NN - DOWN,95NN,95OO - DUNGANNON,95OO,35
95NN - DOWN,95NN,95PP - FERMANAGH,95PP,6
95NN - DOWN,95NN,95QQ - LARNE,95QQ,72
95NN - DOWN,95NN,95RR - LIMAVADY,95RR,2
95NN - DOWN,95NN,95SS - LISBURN,95SS,1149
95NN - DOWN,95NN,95TT - MAGHERAFELT,95TT,16
95NN - DOWN,95NN,95UU - MOYLE,95UU,2
95NN - DOWN,95NN,95VV - NEWRY & MOURNE,95VV,796
95NN - DOWN,95NN,95WW - NEWTOWNABBEY,95WW,257
95NN - DOWN,95NN,95XX - NORTH DOWN,95XX,233
95NN - DOWN,95NN,95YY - OMAGH,95YY,3
95NN - DOWN,95NN,Mainly work at or from home,95NN,3668
95NN - DOWN,95NN,Offshore installation,95NN,27
95NN - DOWN,95NN,No fixed place,95NN,5025
95NN - DOWN,95NN,Outside UK,95NN,152
95OO - DUNGANNON,95OO,95AA - ANTRIM,95AA,92
95OO - DUNGANNON,95OO,95BB - ARDS,95BB,13
95OO - DUNGANNON,95OO,95CC - ARMAGH,95CC,1147
95OO - DUNGANNON,95OO,95DD - BALLYMENA,95DD,34
95OO - DUNGANNON,95OO,95EE - BALLYMONEY,95EE,17
95OO - DUNGANNON,95OO,95FF - BANBRIDGE,95FF,40
95OO - DUNGANNON,95OO,95GG - BELFAST,95GG,963
95OO - DUNGANNON,95OO,95HH - CARRICKFERGUS,95HH,10
95OO - DUNGANNON,95OO,95II - CASTLEREAGH,95II,76
95OO - DUNGANNON,95OO,95JJ - COLERAINE,95JJ,68
95OO - DUNGANNON,95OO,95KK - COOKSTOWN,95KK,929
95OO - DUNGANNON,95OO,95LL - CRAIGAVON,95LL,1079
95OO - DUNGANNON,95OO,95MM - DERRY,95MM,338
95OO - DUNGANNON,95OO,95NN - DOWN,95NN,22
95OO - DUNGANNON,95OO,95OO - DUNGANNON,95OO,10796
95OO - DUNGANNON,95OO,95PP - FERMANAGH,95PP,560
95OO - DUNGANNON,95OO,95QQ - LARNE,95QQ,8
95OO - DUNGANNON,95OO,95RR - LIMAVADY,95RR,25
95OO - DUNGANNON,95OO,95SS - LISBURN,95SS,158
95OO - DUNGANNON,95OO,95TT - MAGHERAFELT,95TT,146
95OO - DUNGANNON,95OO,95UU - MOYLE,95UU,5
95OO - DUNGANNON,95OO,95VV - NEWRY & MOURNE,95VV,104
95OO - DUNGANNON,95OO,95WW - NEWTOWNABBEY,95WW,94
95OO - DUNGANNON,95OO,95XX - NORTH DOWN,95XX,18
95OO - DUNGANNON,95OO,95YY - OMAGH,95YY,651
95OO - DUNGANNON,95OO,95ZZ - STRABANE,95ZZ,38
95OO - DUNGANNON,95OO,Mainly work at or from home,95OO,3787
95OO - DUNGANNON,95OO,Offshore installation,95OO,30
95OO - DUNGANNON,95OO,No fixed place,95OO,4048
95OO - DUNGANNON,95OO,Outside UK,95OO,288
95PP - FERMANAGH,95PP,95AA - ANTRIM,95AA,48
95PP - FERMANAGH,95PP,95BB - ARDS,95BB,7
95PP - FERMANAGH,95PP,95CC - ARMAGH,95CC,89
95PP - FERMANAGH,95PP,95DD - BALLYMENA,95DD,29
95PP - FERMANAGH,95PP,95EE - BALLYMONEY,95EE,8
95PP - FERMANAGH,95PP,95FF - BANBRIDGE,95FF,13
95PP - FERMANAGH,95PP,95GG - BELFAST,95GG,423
95PP - FERMANAGH,95PP,95HH - CARRICKFERGUS,95HH,1
95PP - FERMANAGH,95PP,95II - CASTLEREAGH,95II,28
95PP - FERMANAGH,95PP,95JJ - COLERAINE,95JJ,77
95PP - FERMANAGH,95PP,95KK - COOKSTOWN,95KK,68
95PP - FERMANAGH,95PP,95LL - CRAIGAVON,95LL,62
95PP - FERMANAGH,95PP,95MM - DERRY,95MM,162
95PP - FERMANAGH,95PP,95NN - DOWN,95NN,14
95PP - FERMANAGH,95PP,95OO - DUNGANNON,95OO,576
95PP - FERMANAGH,95PP,95PP - FERMANAGH,95PP,14986
95PP - FERMANAGH,95PP,95QQ - LARNE,95QQ,9
95PP - FERMANAGH,95PP,95RR - LIMAVADY,95RR,107
95PP - FERMANAGH,95PP,95SS - LISBURN,95SS,43
95PP - FERMANAGH,95PP,95TT - MAGHERAFELT,95TT,71
95PP - FERMANAGH,95PP,95UU - MOYLE,95UU,27
95PP - FERMANAGH,95PP,95VV - NEWRY & MOURNE,95VV,23
95PP - FERMANAGH,95PP,95WW - NEWTOWNABBEY,95WW,39
95PP - FERMANAGH,95PP,95XX - NORTH DOWN,95XX,17
95PP - FERMANAGH,95PP,95YY - OMAGH,95YY,835
95PP - FERMANAGH,95PP,95ZZ - STRABANE,95ZZ,93
95PP - FERMANAGH,95PP,Mainly work at or from home,95PP,4052
95PP - FERMANAGH,95PP,Offshore installation,95PP,31
95PP - FERMANAGH,95PP,No fixed place,95PP,4452
95PP - FERMANAGH,95PP,Outside UK,95PP,1146
95QQ - LARNE,95QQ,95AA - ANTRIM,95AA,492
95QQ - LARNE,95QQ,95BB - ARDS,95BB,26
95QQ - LARNE,95QQ,95CC - ARMAGH,95CC,16
95QQ - LARNE,95QQ,95DD - BALLYMENA,95DD,680
95QQ - LARNE,95QQ,95EE - BALLYMONEY,95EE,10
95QQ - LARNE,95QQ,95FF - BANBRIDGE,95FF,5
95QQ - LARNE,95QQ,95GG - BELFAST,95GG,2263
95QQ - LARNE,95QQ,95HH - CARRICKFERGUS,95HH,858
95QQ - LARNE,95QQ,95II - CASTLEREAGH,95II,128
95QQ - LARNE,95QQ,95JJ - COLERAINE,95JJ,39
95QQ - LARNE,95QQ,95KK - COOKSTOWN,95KK,5
95QQ - LARNE,95QQ,95LL - CRAIGAVON,95LL,42
95QQ - LARNE,95QQ,95MM - DERRY,95MM,12
95QQ - LARNE,95QQ,95NN - DOWN,95NN,58
95QQ - LARNE,95QQ,95OO - DUNGANNON,95OO,2
95QQ - LARNE,95QQ,95PP - FERMANAGH,95PP,3
95QQ - LARNE,95QQ,95QQ - LARNE,95QQ,5091
95QQ - LARNE,95QQ,95RR - LIMAVADY,95RR,2
95QQ - LARNE,95QQ,95SS - LISBURN,95SS,127
95QQ - LARNE,95QQ,95TT - MAGHERAFELT,95TT,16
95QQ - LARNE,95QQ,95UU - MOYLE,95UU,28
95QQ - LARNE,95QQ,95VV - NEWRY & MOURNE,95VV,73
95QQ - LARNE,95QQ,95WW - NEWTOWNABBEY,95WW,1352
95QQ - LARNE,95QQ,95XX - NORTH DOWN,95XX,73
95QQ - LARNE,95QQ,95YY - OMAGH,95YY,2
95QQ - LARNE,95QQ,Mainly work at or from home,95QQ,1474
95QQ - LARNE,95QQ,Offshore installation,95QQ,52
95QQ - LARNE,95QQ,No fixed place,95QQ,1846
95QQ - LARNE,95QQ,Outside UK,95QQ,39
95RR - LIMAVADY,95RR,95AA - ANTRIM,95AA,108
95RR - LIMAVADY,95RR,95BB - ARDS,95BB,5
95RR - LIMAVADY,95RR,95CC - ARMAGH,95CC,14
95RR - LIMAVADY,95RR,95DD - BALLYMENA,95DD,111
95RR - LIMAVADY,95RR,95EE - BALLYMONEY,95EE,49
95RR - LIMAVADY,95RR,95FF - BANBRIDGE,95FF,5
95RR - LIMAVADY,95RR,95GG - BELFAST,95GG,337
95RR - LIMAVADY,95RR,95HH - CARRICKFERGUS,95HH,6
95RR - LIMAVADY,95RR,95II - CASTLEREAGH,95II,25
95RR - LIMAVADY,95RR,95JJ - COLERAINE,95JJ,916
95RR - LIMAVADY,95RR,95KK - COOKSTOWN,95KK,37
95RR - LIMAVADY,95RR,95LL - CRAIGAVON,95LL,12
95RR - LIMAVADY,95RR,95MM - DERRY,95MM,2657
95RR - LIMAVADY,95RR,95NN - DOWN,95NN,3
95RR - LIMAVADY,95RR,95OO - DUNGANNON,95OO,43
95RR - LIMAVADY,95RR,95PP - FERMANAGH,95PP,146
95RR - LIMAVADY,95RR,95QQ - LARNE,95QQ,13
95RR - LIMAVADY,95RR,95RR - LIMAVADY,95RR,4033
95RR - LIMAVADY,95RR,95SS - LISBURN,95SS,32
95RR - LIMAVADY,95RR,95TT - MAGHERAFELT,95TT,337
95RR - LIMAVADY,95RR,95UU - MOYLE,95UU,26
95RR - LIMAVADY,95RR,95VV - NEWRY & MOURNE,95VV,2
95RR - LIMAVADY,95RR,95WW - NEWTOWNABBEY,95WW,49
95RR - LIMAVADY,95RR,95XX - NORTH DOWN,95XX,14
95RR - LIMAVADY,95RR,95YY - OMAGH,95YY,44
95RR - LIMAVADY,95RR,95ZZ - STRABANE,95ZZ,65
95RR - LIMAVADY,95RR,Mainly work at or from home,95RR,1551
95RR - LIMAVADY,95RR,Offshore installation,95RR,10
95RR - LIMAVADY,95RR,No fixed place,95RR,2441
95RR - LIMAVADY,95RR,Outside UK,95RR,86
95SS - LISBURN,95SS,95AA - ANTRIM,95AA,1292
95SS - LISBURN,95SS,95BB - ARDS,95BB,227
95SS - LISBURN,95SS,95CC - ARMAGH,95CC,177
95SS - LISBURN,95SS,95DD - BALLYMENA,95DD,138
95SS - LISBURN,95SS,95EE - BALLYMONEY,95EE,4
95SS - LISBURN,95SS,95FF - BANBRIDGE,95FF,433
95SS - LISBURN,95SS,95GG - BELFAST,95GG,17480
95SS - LISBURN,95SS,95HH - CARRICKFERGUS,95HH,121
95SS - LISBURN,95SS,95II - CASTLEREAGH,95II,1571
95SS - LISBURN,95SS,95JJ - COLERAINE,95JJ,64
95SS - LISBURN,95SS,95KK - COOKSTOWN,95KK,39
95SS - LISBURN,95SS,95LL - CRAIGAVON,95LL,1455
95SS - LISBURN,95SS,95MM - DERRY,95MM,46
95SS - LISBURN,95SS,95NN - DOWN,95NN,550
95SS - LISBURN,95SS,95OO - DUNGANNON,95OO,196
95SS - LISBURN,95SS,95PP - FERMANAGH,95PP,24
95SS - LISBURN,95SS,95QQ - LARNE,95QQ,94
95SS - LISBURN,95SS,95RR - LIMAVADY,95RR,9
95SS - LISBURN,95SS,95SS - LISBURN,95SS,17213
95SS - LISBURN,95SS,95TT - MAGHERAFELT,95TT,34
95SS - LISBURN,95SS,95UU - MOYLE,95UU,4
95SS - LISBURN,95SS,95VV - NEWRY & MOURNE,95VV,229
95SS - LISBURN,95SS,95WW - NEWTOWNABBEY,95WW,1030
95SS - LISBURN,95SS,95XX - NORTH DOWN,95XX,355
95SS - LISBURN,95SS,95YY - OMAGH,95YY,22
95SS - LISBURN,95SS,95ZZ - STRABANE,95ZZ,2
95SS - LISBURN,95SS,Mainly work at or from home,95SS,5156
95SS - LISBURN,95SS,Offshore installation,95SS,39
95SS - LISBURN,95SS,No fixed place,95SS,6583
95SS - LISBURN,95SS,Outside UK,95SS,206
95TT - MAGHERAFELT,95TT,95AA - ANTRIM,95AA,1009
95TT - MAGHERAFELT,95TT,95BB - ARDS,95BB,8
95TT - MAGHERAFELT,95TT,95CC - ARMAGH,95CC,41
95TT - MAGHERAFELT,95TT,95DD - BALLYMENA,95DD,820
95TT - MAGHERAFELT,95TT,95EE - BALLYMONEY,95EE,136
95TT - MAGHERAFELT,95TT,95FF - BANBRIDGE,95FF,7
95TT - MAGHERAFELT,95TT,95GG - BELFAST,95GG,1229
95TT - MAGHERAFELT,95TT,95HH - CARRICKFERGUS,95HH,18
95TT - MAGHERAFELT,95TT,95II - CASTLEREAGH,95II,44
95TT - MAGHERAFELT,95TT,95JJ - COLERAINE,95JJ,628
95TT - MAGHERAFELT,95TT,95KK - COOKSTOWN,95KK,997
95TT - MAGHERAFELT,95TT,95LL - CRAIGAVON,95LL,54
95TT - MAGHERAFELT,95TT,95MM - DERRY,95MM,419
95TT - MAGHERAFELT,95TT,95NN - DOWN,95NN,7
95TT - MAGHERAFELT,95TT,95OO - DUNGANNON,95OO,196
95TT - MAGHERAFELT,95TT,95PP - FERMANAGH,95PP,81
95TT - MAGHERAFELT,95TT,95QQ - LARNE,95QQ,54
95TT - MAGHERAFELT,95TT,95RR - LIMAVADY,95RR,198
95TT - MAGHERAFELT,95TT,95SS - LISBURN,95SS,69
95TT - MAGHERAFELT,95TT,95TT - MAGHERAFELT,95TT,7072
95TT - MAGHERAFELT,95TT,95UU - MOYLE,95UU,68
95TT - MAGHERAFELT,95TT,95VV - NEWRY & MOURNE,95VV,14
95TT - MAGHERAFELT,95TT,95WW - NEWTOWNABBEY,95WW,211
95TT - MAGHERAFELT,95TT,95XX - NORTH DOWN,95XX,24
95TT - MAGHERAFELT,95TT,95YY - OMAGH,95YY,117
95TT - MAGHERAFELT,95TT,95ZZ - STRABANE,95ZZ,36
95TT - MAGHERAFELT,95TT,Mainly work at or from home,95TT,2481
95TT - MAGHERAFELT,95TT,Offshore installation,95TT,14
95TT - MAGHERAFELT,95TT,No fixed place,95TT,3876
95TT - MAGHERAFELT,95TT,Outside UK,95TT,68
95UU - MOYLE,95UU,95AA - ANTRIM,95AA,94
95UU - MOYLE,95UU,95BB - ARDS,95BB,4
95UU - MOYLE,95UU,95CC - ARMAGH,95CC,2
95UU - MOYLE,95UU,95DD - BALLYMENA,95DD,483
95UU - MOYLE,95UU,95EE - BALLYMONEY,95EE,354
95UU - MOYLE,95UU,95FF - BANBRIDGE,95FF,2
95UU - MOYLE,95UU,95GG - BELFAST,95GG,357
95UU - MOYLE,95UU,95HH - CARRICKFERGUS,95HH,9
95UU - MOYLE,95UU,95II - CASTLEREAGH,95II,26
95UU - MOYLE,95UU,95JJ - COLERAINE,95JJ,766
95UU - MOYLE,95UU,95KK - COOKSTOWN,95KK,22
95UU - MOYLE,95UU,95LL - CRAIGAVON,95LL,12
95UU - MOYLE,95UU,95MM - DERRY,95MM,67
95UU - MOYLE,95UU,95NN - DOWN,95NN,4
95UU - MOYLE,95UU,95OO - DUNGANNON,95OO,34
95UU - MOYLE,95UU,95PP - FERMANAGH,95PP,34
95UU - MOYLE,95UU,95QQ - LARNE,95QQ,112
95UU - MOYLE,95UU,95RR - LIMAVADY,95RR,40
95UU - MOYLE,95UU,95SS - LISBURN,95SS,24
95UU - MOYLE,95UU,95TT - MAGHERAFELT,95TT,93
95UU - MOYLE,95UU,95UU - MOYLE,95UU,1804
95UU - MOYLE,95UU,95VV - NEWRY & MOURNE,95VV,5
95UU - MOYLE,95UU,95WW - NEWTOWNABBEY,95WW,43
95UU - MOYLE,95UU,95XX - NORTH DOWN,95XX,3
95UU - MOYLE,95UU,95YY - OMAGH,95YY,109
95UU - MOYLE,95UU,95ZZ - STRABANE,95ZZ,7
95UU - MOYLE,95UU,Mainly work at or from home,95UU,1136
95UU - MOYLE,95UU,Offshore installation,95UU,8
95UU - MOYLE,95UU,No fixed place,95UU,1328
95UU - MOYLE,95UU,Outside UK,95UU,32
95VV - NEWRY & MOURNE,95VV,95AA - ANTRIM,95AA,126
95VV - NEWRY & MOURNE,95VV,95BB - ARDS,95BB,151
95VV - NEWRY & MOURNE,95VV,95CC - ARMAGH,95CC,901
95VV - NEWRY & MOURNE,95VV,95DD - BALLYMENA,95DD,70
95VV - NEWRY & MOURNE,95VV,95EE - BALLYMONEY,95EE,2
95VV - NEWRY & MOURNE,95VV,95FF - BANBRIDGE,95FF,756
95VV - NEWRY & MOURNE,95VV,95GG - BELFAST,95GG,1969
95VV - NEWRY & MOURNE,95VV,95HH - CARRICKFERGUS,95HH,67
95VV - NEWRY & MOURNE,95VV,95II - CASTLEREAGH,95II,135
95VV - NEWRY & MOURNE,95VV,95JJ - COLERAINE,95JJ,15
95VV - NEWRY & MOURNE,95VV,95KK - COOKSTOWN,95KK,25
95VV - NEWRY & MOURNE,95VV,95LL - CRAIGAVON,95LL,762
95VV - NEWRY & MOURNE,95VV,95MM - DERRY,95MM,25
95VV - NEWRY & MOURNE,95VV,95NN - DOWN,95NN,774
95VV - NEWRY & MOURNE,95VV,95OO - DUNGANNON,95OO,112
95VV - NEWRY & MOURNE,95VV,95PP - FERMANAGH,95PP,20
95VV - NEWRY & MOURNE,95VV,95QQ - LARNE,95QQ,105
95VV - NEWRY & MOURNE,95VV,95SS - LISBURN,95SS,378
95VV - NEWRY & MOURNE,95VV,95TT - MAGHERAFELT,95TT,16
95VV - NEWRY & MOURNE,95VV,95UU - MOYLE,95UU,3
95VV - NEWRY & MOURNE,95VV,95VV - NEWRY & MOURNE,95VV,20462
95VV - NEWRY & MOURNE,95VV,95WW - NEWTOWNABBEY,95WW,338
95VV - NEWRY & MOURNE,95VV,95XX - NORTH DOWN,95XX,102
95VV - NEWRY & MOURNE,95VV,95YY - OMAGH,95YY,20
95VV - NEWRY & MOURNE,95VV,95ZZ - STRABANE,95ZZ,2
95VV - NEWRY & MOURNE,95VV,Mainly work at or from home,95VV,4879
95VV - NEWRY & MOURNE,95VV,Offshore installation,95VV,60
95VV - NEWRY & MOURNE,95VV,No fixed place,95VV,7299
95VV - NEWRY & MOURNE,95VV,Outside UK,95VV,1716
95WW - NEWTOWNABBEY,95WW,95AA - ANTRIM,95AA,1639
95WW - NEWTOWNABBEY,95WW,95BB - ARDS,95BB,167
95WW - NEWTOWNABBEY,95WW,95CC - ARMAGH,95CC,48
95WW - NEWTOWNABBEY,95WW,95DD - BALLYMENA,95DD,687
95WW - NEWTOWNABBEY,95WW,95EE - BALLYMONEY,95EE,24
95WW - NEWTOWNABBEY,95WW,95FF - BANBRIDGE,95FF,27
95WW - NEWTOWNABBEY,95WW,95GG - BELFAST,95GG,14463
95WW - NEWTOWNABBEY,95WW,95HH - CARRICKFERGUS,95HH,985
95WW - NEWTOWNABBEY,95WW,95II - CASTLEREAGH,95II,847
95WW - NEWTOWNABBEY,95WW,95JJ - COLERAINE,95JJ,75
95WW - NEWTOWNABBEY,95WW,95KK - COOKSTOWN,95KK,30
95WW - NEWTOWNABBEY,95WW,95LL - CRAIGAVON,95LL,166
95WW - NEWTOWNABBEY,95WW,95MM - DERRY,95MM,48
95WW - NEWTOWNABBEY,95WW,95NN - DOWN,95NN,93
95WW - NEWTOWNABBEY,95WW,95OO - DUNGANNON,95OO,42
95WW - NEWTOWNABBEY,95WW,95PP - FERMANAGH,95PP,11
95WW - NEWTOWNABBEY,95WW,95QQ - LARNE,95QQ,617
95WW - NEWTOWNABBEY,95WW,95RR - LIMAVADY,95RR,9
95WW - NEWTOWNABBEY,95WW,95SS - LISBURN,95SS,630
95WW - NEWTOWNABBEY,95WW,95TT - MAGHERAFELT,95TT,51
95WW - NEWTOWNABBEY,95WW,95UU - MOYLE,95UU,8
95WW - NEWTOWNABBEY,95WW,95VV - NEWRY & MOURNE,95VV,176
95WW - NEWTOWNABBEY,95WW,95WW - NEWTOWNABBEY,95WW,11241
95WW - NEWTOWNABBEY,95WW,95XX - NORTH DOWN,95XX,367
95WW - NEWTOWNABBEY,95WW,95YY - OMAGH,95YY,12
95WW - NEWTOWNABBEY,95WW,95ZZ - STRABANE,95ZZ,2
95WW - NEWTOWNABBEY,95WW,Mainly work at or from home,95WW,3119
95WW - NEWTOWNABBEY,95WW,Offshore installation,95WW,30
95WW - NEWTOWNABBEY,95WW,No fixed place,95WW,4177
95WW - NEWTOWNABBEY,95WW,Outside UK,95WW,99
95XX - NORTH DOWN,95XX,95AA - ANTRIM,95AA,287
95XX - NORTH DOWN,95XX,95BB - ARDS,95BB,2404
95XX - NORTH DOWN,95XX,95CC - ARMAGH,95CC,30
95XX - NORTH DOWN,95XX,95DD - BALLYMENA,95DD,78
95XX - NORTH DOWN,95XX,95EE - BALLYMONEY,95EE,4
95XX - NORTH DOWN,95XX,95FF - BANBRIDGE,95FF,45
95XX - NORTH DOWN,95XX,95GG - BELFAST,95GG,10729
95XX - NORTH DOWN,95XX,95HH - CARRICKFERGUS,95HH,135
95XX - NORTH DOWN,95XX,95II - CASTLEREAGH,95II,1778
95XX - NORTH DOWN,95XX,95JJ - COLERAINE,95JJ,26
95XX - NORTH DOWN,95XX,95KK - COOKSTOWN,95KK,4
95XX - NORTH DOWN,95XX,95LL - CRAIGAVON,95LL,142
95XX - NORTH DOWN,95XX,95MM - DERRY,95MM,22
95XX - NORTH DOWN,95XX,95NN - DOWN,95NN,163
95XX - NORTH DOWN,95XX,95OO - DUNGANNON,95OO,23
95XX - NORTH DOWN,95XX,95PP - FERMANAGH,95PP,8
95XX - NORTH DOWN,95XX,95QQ - LARNE,95QQ,67
95XX - NORTH DOWN,95XX,95RR - LIMAVADY,95RR,2
95XX - NORTH DOWN,95XX,95SS - LISBURN,95SS,491
95XX - NORTH DOWN,95XX,95TT - MAGHERAFELT,95TT,15
95XX - NORTH DOWN,95XX,95UU - MOYLE,95UU,3
95XX - NORTH DOWN,95XX,95VV - NEWRY & MOURNE,95VV,121
95XX - NORTH DOWN,95XX,95WW - NEWTOWNABBEY,95WW,704
95XX - NORTH DOWN,95XX,95XX - NORTH DOWN,95XX,11673
95XX - NORTH DOWN,95XX,95YY - OMAGH,95YY,6
95XX - NORTH DOWN,95XX,95ZZ - STRABANE,95ZZ,1
95XX - NORTH DOWN,95XX,Mainly work at or from home,95XX,3310
95XX - NORTH DOWN,95XX,Offshore installation,95XX,54
95XX - NORTH DOWN,95XX,No fixed place,95XX,4168
95XX - NORTH DOWN,95XX,Outside UK,95XX,111
95YY - OMAGH,95YY,95AA - ANTRIM,95AA,54
95YY - OMAGH,95YY,95BB - ARDS,95BB,3
95YY - OMAGH,95YY,95CC - ARMAGH,95CC,65
95YY - OMAGH,95YY,95DD - BALLYMENA,95DD,30
95YY - OMAGH,95YY,95EE - BALLYMONEY,95EE,17
95YY - OMAGH,95YY,95FF - BANBRIDGE,95FF,16
95YY - OMAGH,95YY,95GG - BELFAST,95GG,425
95YY - OMAGH,95YY,95HH - CARRICKFERGUS,95HH,2
95YY - OMAGH,95YY,95II - CASTLEREAGH,95II,30
95YY - OMAGH,95YY,95JJ - COLERAINE,95JJ,87
95YY - OMAGH,95YY,95KK - COOKSTOWN,95KK,285
95YY - OMAGH,95YY,95LL - CRAIGAVON,95LL,119
95YY - OMAGH,95YY,95MM - DERRY,95MM,399
95YY - OMAGH,95YY,95NN - DOWN,95NN,12
95YY - OMAGH,95YY,95OO - DUNGANNON,95OO,782
95YY - OMAGH,95YY,95PP - FERMANAGH,95PP,1017
95YY - OMAGH,95YY,95QQ - LARNE,95QQ,7
95YY - OMAGH,95YY,95RR - LIMAVADY,95RR,34
95YY - OMAGH,95YY,95SS - LISBURN,95SS,58
95YY - OMAGH,95YY,95TT - MAGHERAFELT,95TT,110
95YY - OMAGH,95YY,95UU - MOYLE,95UU,43
95YY - OMAGH,95YY,95VV - NEWRY & MOURNE,95VV,24
95YY - OMAGH,95YY,95WW - NEWTOWNABBEY,95WW,46
95YY - OMAGH,95YY,95XX - NORTH DOWN,95XX,16
95YY - OMAGH,95YY,95YY - OMAGH,95YY,10118
95YY - OMAGH,95YY,95ZZ - STRABANE,95ZZ,708
95YY - OMAGH,95YY,Mainly work at or from home,95YY,3167
95YY - OMAGH,95YY,Offshore installation,95YY,14
95YY - OMAGH,95YY,No fixed place,95YY,3769
95YY - OMAGH,95YY,Outside UK,95YY,213
95ZZ - STRABANE,95ZZ,95AA - ANTRIM,95AA,23
95ZZ - STRABANE,95ZZ,95BB - ARDS,95BB,3
95ZZ - STRABANE,95ZZ,95CC - ARMAGH,95CC,16
95ZZ - STRABANE,95ZZ,95DD - BALLYMENA,95DD,13
95ZZ - STRABANE,95ZZ,95EE - BALLYMONEY,95EE,6
95ZZ - STRABANE,95ZZ,95FF - BANBRIDGE,95FF,1
95ZZ - STRABANE,95ZZ,95GG - BELFAST,95GG,169
95ZZ - STRABANE,95ZZ,95HH - CARRICKFERGUS,95HH,2
95ZZ - STRABANE,95ZZ,95II - CASTLEREAGH,95II,10
95ZZ - STRABANE,95ZZ,95JJ - COLERAINE,95JJ,68
95ZZ - STRABANE,95ZZ,95KK - COOKSTOWN,95KK,71
95ZZ - STRABANE,95ZZ,95LL - CRAIGAVON,95LL,18
95ZZ - STRABANE,95ZZ,95MM - DERRY,95MM,1861
95ZZ - STRABANE,95ZZ,95NN - DOWN,95NN,5
95ZZ - STRABANE,95ZZ,95OO - DUNGANNON,95OO,70
95ZZ - STRABANE,95ZZ,95PP - FERMANAGH,95PP,221
95ZZ - STRABANE,95ZZ,95QQ - LARNE,95QQ,3
95ZZ - STRABANE,95ZZ,95RR - LIMAVADY,95RR,66
95ZZ - STRABANE,95ZZ,95SS - LISBURN,95SS,26
95ZZ - STRABANE,95ZZ,95TT - MAGHERAFELT,95TT,43
95ZZ - STRABANE,95ZZ,95UU - MOYLE,95UU,15
95ZZ - STRABANE,95ZZ,95VV - NEWRY & MOURNE,95VV,7
95ZZ - STRABANE,95ZZ,95WW - NEWTOWNABBEY,95WW,27
95ZZ - STRABANE,95ZZ,95XX - NORTH DOWN,95XX,9
95ZZ - STRABANE,95ZZ,95YY - OMAGH,95YY,1639
95ZZ - STRABANE,95ZZ,95ZZ - STRABANE,95ZZ,5343
95ZZ - STRABANE,95ZZ,Mainly work at or from home,95ZZ,2114
95ZZ - STRABANE,95ZZ,Offshore installation,95ZZ,11
95ZZ - STRABANE,95ZZ,No fixed place,95ZZ,2632
95ZZ - STRABANE,95ZZ,Outside UK,95ZZ,451
